"id","name","description","name","description","price","image"
a3729876-826b-4a0b-8388-0d0e4649e192,Alcoholic Drinks,"Cocktails, Spirits & Wines",Hendrick's / Roku / Ukiyo,(25ml / 50ml),6.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298673367_cocktails.png?alt=media&token=c3f575b1-3b20-4bca-85d4-cccd80a258d4
"313ca636-b38c-4873-9556-4b3970e7b1d3",Alcoholic Drinks,"Cocktails, Spirits & Wines",Indri,(25ml / 50ml),8.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298677743_cocktails.png?alt=media&token=ee2ea1a7-96b2-4b3a-8162-e59c58865245
"905f636b-c3dc-4670-829b-de283269080f",Beers,"Lagers, IPAs & Ciders",Kingfisher Draught,Pint / Half,5.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298689420_beers.png?alt=media&token=425be96f-87a9-4410-a422-cb98101097ec
"46351796-fdae-49d9-8d87-4819bd8403d9",Beers,"Lagers, IPAs & Ciders",Kingfisher Ultra Lager,"",4.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298690511_beers.png?alt=media&token=68eea4bd-7623-41e4-a87d-bad33b9c9898
"9b06d207-e164-486d-a455-cf00f68736fc",Mains - Non-Vegetarian,Mains - Non-Vegetarian,Lamb Rogan Josh,Slow cooked lamb.,14.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298698062_lamb_rogan_josh.png?alt=media&token=b0e8bce0-5107-4661-a4ac-fa72036dd292
"74b31f11-62a4-475a-8f66-dbc6d31f4bb0",Alcoholic Drinks,"Cocktails, Spirits & Wines",Malhar (Indian),Classic / Citrus (25ml / 50ml),7.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298708889_cocktails.png?alt=media&token=5b1b3022-9821-40e4-b303-77d0707aa61f
"5fcfb703-2bdc-428e-a7e6-476fac2bb058",Starters - Vegetarian,Vegetarian,Onion Bhaji,Shredded onion fritters.,4.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298727503_onion_bhaji.png?alt=media&token=8af1139d-bd98-41c6-9b6f-661683408725
a72d339a-b257-44b7-87f6-fefeb140d6d0,Mains - Vegetarian,Mains - Vegetarian,Paneer Makhani,Cottage cheese in tomato cream.,11.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298731681_paneer_makhani.png?alt=media&token=ffbf5cf3-897d-468c-8267-5f000485136f
"611ac479-a897-48d2-a81d-865758c2a0ab",Beers,"Lagers, IPAs & Ciders",Peroni,"330ml",3.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298735839_beers.png?alt=media&token=d93f7110-6a10-45c7-b8cd-c40e0698c380
be2ad633-af0c-4cda-a1c0-3df435aa70bd,Starters - Vegetarian,Vegetarian,Poppadum Mix,Crispy poppadums.,3.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298740080_poppadum_mix.png?alt=media&token=ef0a3674-7cde-4b54-94ae-a00eb6a7cd30
"7c3c03a1-0412-493a-89f0-f0fcaf5b9d26",Rice & Biryani,Rice & Biryani,Vegetable Biryani,Aromatic basmati rice with vegetables.,12.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298772385_biryani_rice_bowl.png?alt=media&token=c169c3e3-8017-4f61-a311-30870c4b16aa
"937b2983-9019-44cf-b813-af03aa0a1b67",Alcoholic Drinks,"Cocktails, Spirits & Wines",Champagne,Jacques Bardelot / Moet (Btl),49.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298630748_wines.png?alt=media&token=c31ae5fa-4f3d-4d87-a379-8cb6cb46c656
"9d48b335-de73-4816-ba0e-523eb1851170",Non-Alcoholic Drinks,"Soft drinks, Hot drinks & Mocktails",Coke/Diet/Zero/Lemonade,Pint,3.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298646974_soft_drinks.png?alt=media&token=0b4f0db9-4a70-43cf-acfd-eff570f11cd2
"1cbf05b1-1ca2-4a64-bf8c-1d65095e9815",Alcoholic Drinks,"Cocktails, Spirits & Wines",Courvoisier VS,(25ml / 50ml),5.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298650447_cocktails.png?alt=media&token=b331816f-0f96-4c08-9893-eb2653b4107e
e0478d0f-b700-410c-b031-f44adcbaaf27,Mains - Vegetarian,Mains - Vegetarian,Dal Tadka,"Yellow lentils tempered with onions, tomatoes, green chillies",9.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298653494_veg_mains.png?alt=media&token=2b88cec2-11af-4766-bd8a-1dae96d673ff
"3b56c41f-1649-4be5-a91d-1e232e621678",Alcoholic Drinks,"Cocktails, Spirits & Wines",Elderflower Fizz,"Berry, Pear, Elderflower, Tonic/Lemonade",4.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298659716_cocktails.png?alt=media&token=2ad8a8b9-46f1-46c5-a361-9c381e25b997
"4e972d97-eb4d-4d88-830e-ffa4e1caf72c",Non-Alcoholic Drinks,"Soft drinks, Hot drinks & Mocktails",Fruit Juice,Orange/Apple/Mango/Cranberry/Pineapple,3.49,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298665913_soft_drinks.png?alt=media&token=0d6b4a8e-56f8-4746-8981-32ca53a3cb07
a9039930-418f-4999-a2c6-09e167e0059d,Non-Alcoholic Drinks,"Soft drinks, Hot drinks & Mocktails",J20,Orange & Passion / Apple & Mango,3.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298678809_soft_drinks.png?alt=media&token=fd2d4a6c-2810-416b-843e-4b637f73c732
"1c1c9878-0c35-4c8f-9724-11692ef18208",Mains - Vegetarian,Mains - Vegetarian,Kadai Paneer,Cottage cheese with onion and bell peppers,11.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298684031_veg_mains.png?alt=media&token=ad8bc851-f6fe-4faf-994a-99d727674188
"3846ca24-15ab-4bb9-8530-c55306bec935",Non-Alcoholic Drinks,"Soft drinks, Hot drinks & Mocktails",Lime & Mint Soda,"Lemon, Sugar, Black Salt, Mint",4.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298703480_soft_drinks.png?alt=media&token=72034965-f95d-42ab-910b-d93c1ed9d746
"85f85e26-9e6c-4b64-b612-db4eb7499a14",Alcoholic Drinks,"Cocktails, Spirits & Wines",Margarita,"Tequila, Cointreau, lime juice, salt rim",8.49,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298712007_cocktails.png?alt=media&token=449856b7-1e2f-4098-849a-b6d8028c98cc
"0c2bba1e-25b6-4414-b86a-166d0fbd2b7a",Alcoholic Drinks,"Cocktails, Spirits & Wines",Moscow Mule,"Lime juice, ginger beer, crushed ice",5.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298717118_cocktails.png?alt=media&token=aa18b3e8-046c-428a-b887-53e4cc24e979
cd146715-5a07-4c19-80c1-1da6059d3ae5,Alcoholic Drinks,"Cocktails, Spirits & Wines",Old Fashioned,"Whisky, brown sugar, angostura",8.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298725393_cocktails.png?alt=media&token=1d48aace-da2e-4340-b75c-a1ab14267a74
"0b980e06-d11d-42db-abf1-73da26c35378",Alcoholic Drinks,"Cocktails, Spirits & Wines",Prosecco R&R (White/Rose),Italy (20cl / Btl),9.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298743197_wines.png?alt=media&token=241e3afc-a080-46d6-8f59-b02394c9358e
ef758707-7824-42ea-8a6c-3329928e449c,Alcoholic Drinks,"Cocktails, Spirits & Wines",Red: Rioja / Malbec,Spain / Argentina (175ml / Btl),8.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298749704_wines.png?alt=media&token=54358e1a-67b7-4676-8ade-1c9f62cf0827
"45736283-42f5-44f8-b5a7-f18d6596661c",Alcoholic Drinks,"Cocktails, Spirits & Wines",Rose: Pinot Grigio,Italy (175ml / Btl),6.49,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298752866_wines.png?alt=media&token=7cbb7f66-9721-4314-ac80-77e06f86f312
"3468528b-a2f7-49ba-844a-4a8a929fe3c2",Alcoholic Drinks,"Cocktails, Spirits & Wines",Rose: Provence,France (Btl),32.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298753863_cocktails.png?alt=media&token=84fa2294-c616-4fd5-b3f2-1f0eb6e3092a
"871d8f6d-252e-4453-9372-8c7f28aef47f",Non-Alcoholic Drinks,"Soft drinks, Hot drinks & Mocktails",Salty Masala Lassi,"Yoghurt, roasted cumin, coriander, salt",4.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298761091_soft_drinks.png?alt=media&token=4b1e96ef-2438-427f-9f81-b01e6198292e
"1a20dc44-d03f-4e1f-9228-4bbe15eaa6b9",Non-Alcoholic Drinks,"Soft drinks, Hot drinks & Mocktails",Virgin Pina Colada,"Mock rum syrup, pineapple, coconut milk",5.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298776527_soft_drinks.png?alt=media&token=5bc376f5-cd3e-4da4-a1d5-26e0bc4e9bf6
"0ff5c10e-f20b-49de-b2d2-ffb31f1b12c0",Non-Alcoholic Drinks,"Soft drinks, Hot drinks & Mocktails",Watermelon Fizz,"Watermelon, lime juice",5.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298777530_soft_drinks.png?alt=media&token=e203655a-8a82-4f6b-b4ab-576d77dbc364
ae66098d-cbc7-45d2-871c-f8414f64093b,Alcoholic Drinks,"Cocktails, Spirits & Wines",White: Sauv Blanc,NZ (Btl),34.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298779562_wines.png?alt=media&token=e6117fc7-6fee-4f2e-9c35-993cd3b706e1
ced6c05a-eea3-4022-8d02-b4adf9729394,Mains - Vegetarian,Mains - Vegetarian,Bhindi Masala,Okra tossed with onions and seasonings (Vegan),9.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298617542_veg_mains.png?alt=media&token=b68bd92b-2985-46f5-bdd3-701459199cc3
"20a57535-4553-4ef3-ac31-fd36924d3f1d",Starters - Vegetarian,Vegetarian,Chef Special Green Salad,"",3.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298633052_tandoori_starters.png?alt=media&token=de4b2578-907c-4388-a6b2-93cc882bf5a7
"88096ab3-0c9f-4474-a277-51a008947e40",Mains - Non-Vegetarian,Mains - Non-Vegetarian,Chicken Chettinad,"Chicken with freshly ground Chettinad spices (gundu chillies, stone flower)",12.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298636157_curry_chicken.png?alt=media&token=fc723428-1fdd-48e8-bb49-d31b2c5cdb50
b93971f3-c6a7-4d01-875f-49a8ee742ada,Starters - Vegetarian,Vegetarian,Delhi ka Samosa,Served with sweet tamarind drizzle and house special salad,4.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298655508_tandoori_starters.png?alt=media&token=1ad286e3-b321-4fd9-b1a0-77152c08cca1
"69de67d3-65c9-4e89-9509-99c52e95bf61",Starters - Vegetarian,Vegetarian,Delhi Ki Aloo Aur Palak Ki Chaat,"Potato/pea patties, crispy spinach, sweet yoghurt, tamarind chutney",6.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298656566_veg_mains.png?alt=media&token=a3e03a84-2a65-40a9-a3ba-86d0675a7c99
fb483202-6020-4d2a-8698-66a2a35b2022,Rice & Biryani,Rice & Biryani,Egg / Chicken Fried Rice,"",6.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298658689_curry_chicken.png?alt=media&token=921c3bde-c845-4889-9d65-2ca3200a3bff
"820354c9-3279-4b84-85e1-e092ca43a5f4",Starters - Vegetarian,Vegetarian,Kachumber Salad,"Tossed onions, cucumber, tomato",4.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298682996_tandoori_starters.png?alt=media&token=87f3c9d9-b7c1-4a94-b771-f2f446ca64a4
de9e2cd8-3887-42a7-b9bc-ebdcbe121d53,Mains - Non-Vegetarian,Mains - Non-Vegetarian,Kerala Fish Curry,Tilapia cooked with hot sauce and coconut,15.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298687105_curry_chicken.png?alt=media&token=9aa65b56-91cb-4c86-930a-d9374cbe2fc1
c72a2466-c9d6-4f06-8043-9c39691838a2,Starters - Vegetarian,Vegetarian,Lachha Pyaz,Spicy onion salad with lemon/chillies,2.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298693556_tandoori_starters.png?alt=media&token=75197e95-73e9-4947-9b9c-c0707de9754e
"49f0a374-75fe-4fbb-a094-0beb089ca8e9",Mains - Vegetarian,Mains - Vegetarian,Malai Kofta,Cottage cheese dumplings in rich creamy tomato cashew sauce,12.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298707815_veg_mains.png?alt=media&token=823574b4-9a22-487b-923a-88bdaa573905
"7a1cd06f-0d28-4c4e-a399-713c13d02af1",Rice & Biryani,Rice & Biryani,Mushroom & Artichoke,Served with raita. Sealed in handi.,14.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298721161_veg_mains.png?alt=media&token=b70e75d5-4ba8-4686-9a5c-01581b4f69c1
ac6d7c3d-5200-4016-b803-9816575d1368,Starters - Vegetarian,Vegetarian,Onion Bhaji,"Shredded onion, potatoes, spinach in batter with fennel seeds & herbs",4.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298728550_tandoori_starters.png?alt=media&token=95233de7-5f7d-462c-b537-c14a0f8bd3a7
"7a95815a-156a-4918-8124-d65f47ce70d2",Mains - Vegetarian,Mains - Vegetarian,Paneer Makhan Wala,"Cottage cheese in tandoor, spiced tomato cream sauce",11.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298732811_veg_mains.png?alt=media&token=1fce4bc9-6e62-4d34-a42e-11c04e7eaa9f
"1517f167-cf56-4c2b-9343-d1cd1d58207c",Starters - Vegetarian,Vegetarian,Papad Basket,"Served with home made fresh Chutney (Mint, Mango, vinegar onion)",4.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298733814_tandoori_starters.png?alt=media&token=04c95561-1e61-471d-8aeb-6d2a9ba696c0
"7886910a-fbd4-47f9-90fd-604478ee8495",Starters - Vegetarian,Vegetarian,Pudina & Aam Wala Paneer Tikka,Paneer marinated with raw mango and mint,8.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298744226_veg_mains.png?alt=media&token=9e4dfc57-960f-427c-b2cf-a97b9498e7f6
"40dc7982-88cf-4722-941f-f4b8cb82baf6",Mains - Non-Vegetarian,Mains - Non-Vegetarian,Rara Gosht,Boneless and minced lamb in spicy curry,14.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298747379_curry_chicken.png?alt=media&token=ced5d966-030d-4acc-a072-1f3bd2b086ef
"4ce9ce81-bd32-431f-b7ff-f0affd4f6eaa",Mains - Non-Vegetarian,Mains - Non-Vegetarian,Saag Chicken,Chicken breast in pureed garlicky spinach,12.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298755886_curry_chicken.png?alt=media&token=7dcbbe32-636d-4768-a8f1-5e46f1ed457e
ac2c0e70-2342-499c-81e6-b7871baf7e7e,Starters - Vegetarian,Vegetarian,Soya Chaap Tikka,"Soya marinated with rich spices, cream, butter, roasted in clay oven",8.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298763206_tandoori_starters.png?alt=media&token=6148967a-fbee-431b-bc32-91a71d8a9fb9
d873fe6f-7f3e-42b4-8ad8-bfa0aee8bcad,Starters - Vegetarian,Vegetarian,Vegetable Manchurian,"Deep fried veg balls in sweet, sour, spicy soy sauce",7.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298775489_veg_mains.png?alt=media&token=c20b0c09-da28-4b6f-8f5e-0d2131645d8a
b6bdbda7-1652-40af-a159-4724ca4cbc5c,Non-Alcoholic Drinks,"Soft drinks, Hot drinks & Mocktails",Cappuccino / Latte,"",3.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298629662_soft_drinks.png?alt=media&token=752c9842-bc5b-4dc8-83c3-a17cd07d9086
"84527ba4-2700-4f8b-b440-33556a5c08d2",Starters - Non-Vegetarian,Non-Vegetarian,Chicken Tikka,"Chicken breast marinated in lemon, ginger, garlic, yoghurt",14.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298640602_curry_chicken.png?alt=media&token=817ae65e-9ef2-4725-98df-92aaa8554ef1
"2ba7a61f-ed69-4a6a-908c-d94df9e3d772",Starters - Non-Vegetarian,Non-Vegetarian,Chilli Chicken,"Marinated with corn flour/spices, fried crispy",8.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298642652_curry_chicken.png?alt=media&token=3792e4d9-bd5c-4c73-aac2-417e2d5ba8e6
a80d3967-3ed3-4cd0-84dd-b64b6d586d87,Starters - Vegetarian,Vegetarian,Cucumber Raita,Yoghurt with cucumber,3.49,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298651453_tandoori_starters.png?alt=media&token=5a7f3d2d-633b-4fb9-9640-8a5c431b5c30
c236c17c-9563-472c-98fd-bb733ff5ebc7,Non-Alcoholic Drinks,"Soft drinks, Hot drinks & Mocktails",Espresso,Single / Double,2.49,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298661797_soft_drinks.png?alt=media&token=02b53487-792d-4f69-99eb-ee9c9810016b
a4a46203-af80-46ac-89fd-0a8248de007f,Non-Alcoholic Drinks,"Soft drinks, Hot drinks & Mocktails",Hot Chocolate,With squirt cream and marshmallow,4.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298675654_soft_drinks.png?alt=media&token=8083069f-e622-4fbc-bef1-c1dafe468323
"3652f68a-6a36-434b-9533-a56e27c1588b",Rice & Biryani,Rice & Biryani,Jeera Rice,Cooked with cumin seeds,5.49,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298681930_biryani.png?alt=media&token=00c71c39-f1b6-4087-be03-235570904216
a249441d-7f67-4fdc-9d70-ac39a76fcd59,Roti & Naan,Roti & Naan,Lachha Paratha,Layered whole wheat flatbread,3.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298692538_naan_breads.png?alt=media&token=445f60e8-c8ab-4b30-8603-3a60f3646b7d
a7049603-dfbe-4b12-a96e-09397d77e277,Desserts,Sweet treats,Lemon Cheesecake,"Lemony cheesecake filling on buttery crust, topped with lemon curd.",6.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298701189_desserts.png?alt=media&token=8ab5f7f9-32b2-4d0b-9c27-ab31f20a0aae
c1b1a741-89c2-425e-9b0f-0ddc1f78f145,Alcoholic Drinks,"Cocktails, Spirits & Wines",Liqueur Coffee,Flambe coffee with your choice of liqueur,6.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298704496_soft_drinks.png?alt=media&token=e5f34db4-1431-45e3-a5ec-89a8c7425ac2
"29b7f31c-1418-40c5-b35d-dfc4cd7ce36c",Non-Alcoholic Drinks,"Soft drinks, Hot drinks & Mocktails",Mint / Green Tea,"",2.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298715139_soft_drinks.png?alt=media&token=d0f9799f-6edf-4e66-b53e-45ec56514ee0
"4bac0784-269c-412a-b621-7996917ceef0",Desserts,Sweet treats,Move N Pick Ice Cream,"Swiss Ice cream (Vanilla, Chocolate, Strawberry) - 3 scoops",6.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298718120_desserts.png?alt=media&token=e01829c6-2d52-4057-ac7b-a4f31eacb896
"6fa0289a-2b4e-468d-854f-fe741e564583",Starters - Non-Vegetarian,Non-Vegetarian,Murg Malai Tikka,Chicken breast marinated in cashew sauce and spices,14.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298720137_tandoori_starters.png?alt=media&token=d0a8d867-6157-4a5b-88ab-9bfb8b8419c1
"95961b7c-7ffb-4efc-bbb0-5c6a30495ad3",Roti & Naan,Roti & Naan,Paneer Kulcha,"Stuffed with grated paneer, coriander, spices",4.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298730621_veg_mains.png?alt=media&token=43a7b046-86e8-461b-8f5c-64b6de425474
"106406d6-bb96-4448-b25c-81bbba80f4f0",Roti & Naan,Roti & Naan,Plain Naan,Soft enriched dough,2.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298738953_naan_breads.png?alt=media&token=8007890e-ef05-4016-b433-ebbefc8de051
"0f936c76-4911-48db-8cfe-540728e00489",Starters - Non-Vegetarian,Non-Vegetarian,Salmon Tikka,"Marinated with ginger/garlic, mustard seeds, dill",11.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298759032_curry_chicken.png?alt=media&token=240b1803-89c9-4c0d-b43c-7875de079134
"20691dca-0eba-444c-9911-a63217691771",Alcoholic Drinks,"Cocktails, Spirits & Wines",Spicy Smokey Night,"Spiced rum, smoked cinnamon, cloves, ginger, ginger beer",8.99,https://firebasestorage.googleapis.com/v0/b/baithak-e55c4.firebasestorage.app/o/product%2Fmigrated_1770298764218_cocktails.png?alt=media&token=16e36a2a-3e5a-4649-ac6c-99996ad33953
